ISOALPHA;COUNTRYNM;NAME2;X;y
MAR;Morocco;Taroudannt;-8.912554015562975;30.622544494921637
MAR;Morocco;Taounate;-4.413216374854336;34.5353668970483
MAR;Morocco;Meknes;-5.604962880972444;33.88503089846859
MAR;Morocco;Kenitra;-5.921008836715594;34.89823898407844
MAR;Morocco;El Jadida;-8.327385922938467;33.01334097922615
MAR;Morocco;Sidi Kacem;-5.780779962605536;34.62609356051222
MAR;Morocco;Errachidia;-5.02888781791553;31.520450607782273
MAR;Morocco;Taza;-4.2759000043456314;34.07918885504318
MAR;Morocco;Boulemane;-3.7732189739575666;33.44445373690897
MAR;Morocco;Sidi Bennour;-8.470111493375958;32.73654792068495
MAR;Morocco;Azilal;-6.343397227013713;32.173874560616106
MAR;Morocco;Nador;-2.5529494040787437;34.999338837270244
MAR;Morocco;Khenifra;-5.348459081569142;32.67061076982762
MAR;Morocco;Al Hoceima;-4.469121036609242;34.92683992815402
MAR;Morocco;Benslimane;-7.095981135134394;33.64485202599274
MAR;Morocco;Al Haouz;-8.085112207598051;31.26416103680297
MAR;Morocco;Sefrou;-4.3932646031816205;33.69024401333071
MAR;Morocco;Essaouira;-9.551164188180167;31.533195625778937
MAR;Morocco;Zagora;-5.829068732327086;31.023924963429494
MAR;Morocco;Safi;-8.987269700690279;32.49875875363073
MAR;Morocco;Figuig;-3.0082095483029416;31.832889595514988
MAR;Morocco;Settat;-7.122437448693446;32.839183909741784
MAR;Morocco;El Kelaa des Sraghna;-7.404573227191696;32.11070523828142
MAR;Morocco;Ouarzazate;-6.536211321599453;31.414362227321877
MAR;Morocco;El Hajeb;-5.699673254657538;33.618836153240444
MAR;Morocco;Jerada;-2.295114265671933;33.86776968197972
MAR;Morocco;Berrechid;-7.45908354030997;33.3396943590961
MAR;Morocco;Chtouka Ait Baha;-9.637522470237812;30.057113468963973
MAR;Morocco;Chefchaouen;-5.144182221577741;34.89622812923634
MAR;Morocco;Tanger-Assilah;-5.881082202963383;35.760826615463245
MAR;Morocco;Tata;-8.07887129773731;29.593934657478194
MAR;Morocco;Midelt;-5.362875791888728;32.290521122338916
MAR;Morocco;Sale;-6.789262156171965;34.045256063966804
MAR;Morocco;Tiznit;-9.322885279347739;29.600201439133862
MAR;Morocco;Tetouan;-5.18086287033866;35.41000772462009
MAR;Morocco;Chichaoua;-8.965212104252002;31.03308406992887
MAR;Morocco;Khemisset;-6.546663792118003;33.28557586428576
MAR;Morocco;Guelmim;-9.186432869403905;29.23988554359875
MAR;Morocco;Khouribga;-6.155789644270878;32.84241859267396
MAR;Morocco;Fahs-Anjra;-5.644730119529818;35.720286418839564
MAR;Morocco;Fes;-5.041872666819225;33.99990204503546
MAR;Morocco;Casablanca;-7.659752144665745;33.54086118013439
MAR;Morocco;Guercif;-3.286216739329384;34.19738962855932
MAR;Morocco;Assa-Zag;-9.34996008358503;28.71203748780834
MAR;Morocco;Ouezzane;-5.2460774211988275;34.67939383479063
MAR;Morocco;Larache;-6.14382242340148;35.066700529041
MAR;Morocco;Sidi Slimane;-5.940103485316543;34.28050828957134
MAR;Morocco;Taourirt;-2.793708286033439;34.293783940892396
MAR;Morocco;Rabat;-6.803271294676708;33.98036992401766
MAR;Morocco;Agadir Ida Ou Tanane;-9.586395140802786;30.678831604700715
MAR;Morocco;Oujda-Angad;-1.9924054292141615;34.86243128530141
MAR;Morocco;Fquih Ben Salah;-6.8522024850053445;32.571534723868126
MAR;Morocco;Ifrane;-5.328969558487374;33.3874921344853
MAR;Morocco;Beni Mellal;-6.287317737601954;32.57070653938496
MAR;Morocco;Berkane;-2.269477687073399;35.03350981086067
MAR;Morocco;Driouch;-3.646105740561584;35.19500258425338
MAR;Morocco;Tinghir;-5.921955698591831;31.340990263711138
MAR;Morocco;Inezgane Ait Melloul;-9.502271272425837;30.34568576535811
MAR;Morocco;Marrakech;-7.9840272550909;31.548285423044224
MAR;Morocco;Skhirate- Temara;-6.848511255475474;33.84239642138797
MAR;Morocco;Rehamna;-7.990760952320674;32.67801355873535
MAR;Morocco;M'Diq-Fnideq;-5.4149664145818335;35.729557920962655
MAR;Morocco;Mediouna;-7.526415675653121;33.45618251646592
MAR;Morocco;Tarfaya;-12.921198234554655;27.921136209946237
MAR;Morocco;Sidi Ifni;-10.099714959073673;29.14742437624109
MAR;Morocco;Youssoufia;-8.63514901344992;32.201687501514485
MAR;Morocco;Moulay Yacoub;-4.8391551394602645;34.100872204701545
MAR;Morocco;Nouaceur;-7.664107875073895;33.359587683776674
MAR;Morocco;Mohammadia;-7.425322229811668;33.59228284698725
MAR;Morocco;Tan-Tan;-11.325718598122606;28.492562957181764
